Дата,Время,Название,Адрес
13.11.2025,17:00,Photo Walk,"ул. Тверская, 12"
14.11.2025,17:00,Film Show,"ул. Большая Дмитровка, 7"
15.11.2025,19:00,Food Fest,"ул. Петровка, 20"
15.11.2025,21:00,Wine Tasting,"ул. Маросейка, 9"
15.11.2025,12:00,Tech Talk,"ул. Никольская, 10"
16.11.2025,19:00,Coffee Meetup,"ул. Тверская, 12"
17.11.2025,11:00,Jazz Night,"ул. Мясницкая, 18"
18.11.2025,13:00,Design Day,"ул. Большая Дмитровка, 7"
19.11.2025,14:00,Poetry Slam,"ул. Мясницкая, 18"
19.11.2025,19:00,Theatre Play,"ул. Пречистенка, 8"
20.11.2025,20:00,Photo Walk,"ул. Тверская, 12"
20.11.2025,10:00,Food Fest,"ул. Большая Дмитровка, 7"
20.11.2025,18:00,Food Fest,"ул. Большая Дмитровка, 7"
21.11.2025,12:00,Photo Walk,"ул. Мясницкая, 18"
21.11.2025,19:00,Jazz Night,"ул. Остоженка, 5"
22.11.2025,19:00,Book Fair,"ул. Покровка, 15"
23.11.2025,14:00,Design Day,"ул. Тверская, 12"
23.11.2025,10:00,Music Fest,"ул. Тверская, 12"
24.11.2025,14:00,Poetry Slam,"ул. Остоженка, 5"
24.11.2025,20:00,Jazz Night,"ул. Мясницкая, 18"
24.11.2025,13:00,Poetry Slam,"ул. Пречистенка, 8"
25.11.2025,16:00,Photo Walk,"ул. Мясницкая, 18"
25.11.2025,10:00,Food Fest,"ул. Большая Дмитровка, 7"
26.11.2025,21:00,Dance Jam,"ул. Пречистенка, 8"
27.11.2025,11:00,Startup Meet,"ул. Большая Дмитровка, 7"
28.11.2025,19:00,Dance Jam,"ул. Остоженка, 5"
28.11.2025,18:00,Dance Jam,"ул. Тверская, 12"
28.11.2025,22:00,Tech Talk,"ул. Остоженка, 5"
29.11.2025,19:00,Theatre Play,"ул. Арбат, 22"
29.11.2025,10:00,Dance Jam,"ул. Покровка, 15"
30.11.2025,22:00,Wine Tasting,"ул. Большая Дмитровка, 7"
01.12.2025,11:00,Jazz Night,"ул. Тверская, 12"
02.12.2025,13:00,Theatre Play,"ул. Пречистенка, 8"
02.12.2025,19:00,Photo Walk,"ул. Остоженка, 5"
02.12.2025,12:00,Startup Meet,"ул. Большая Дмитровка, 7"
03.12.2025,19:00,Dance Jam,"ул. Никольская, 10"
03.12.2025,16:00,Food Fest,"ул. Петровка, 20"
03.12.2025,18:00,Jazz Night,"ул. Тверская, 12"
04.12.2025,21:00,Dance Jam,"ул. Покровка, 15"
05.12.2025,12:00,Tech Talk,"ул. Тверская, 12"
06.12.2025,10:00,Book Fair,"ул. Большая Дмитровка, 7"
07.12.2025,11:00,Coffee Meetup,"ул. Петровка, 20"
07.12.2025,11:00,Photo Walk,"ул. Большая Дмитровка, 7"
07.12.2025,17:00,Food Fest,"ул. Пречистенка, 8"
08.12.2025,17:00,Dance Jam,"ул. Покровка, 15"
09.12.2025,16:00,Book Fair,"ул. Покровка, 15"
09.12.2025,22:00,Food Fest,"ул. Арбат, 22"
09.12.2025,14:00,Wine Tasting,"ул. Петровка, 20"
10.12.2025,16:00,Book Fair,"ул. Маросейка, 9"
11.12.2025,17:00,Photo Walk,"ул. Мясницкая, 18"
11.12.2025,16:00,Photo Walk,"ул. Маросейка, 9"
11.12.2025,21:00,Theatre Play,"ул. Петровка, 20"
12.12.2025,16:00,Film Show,"ул. Покровка, 15"
13.12.2025,11:00,Dance Jam,"ул. Мясницкая, 18"
13.12.2025,22:00,Theatre Play,"ул. Покровка, 15"
